"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","608","E2E: Rapid Checkout (Success - Mocked API)","chromium","Fri Feb 13 07:13:50 UTC 2026","passed","Fri Feb 13 07:13:51 UTC 2026","Hybrid BDR Demo: API + UI","","",""
"","166","Data-Driven Scalability: Flow for standard_user (Premium)","chromium","Fri Feb 13 07:13:50 UTC 2026","passed","Fri Feb 13 07:13:50 UTC 2026","Enhanced BDR Features (Mocked)","","",""
"","155","Parameterized Steps","chromium","Fri Feb 13 07:13:49 UTC 2026","passed","Fri Feb 13 07:13:50 UTC 2026","Enhanced BDR Features (Mocked)","","",""
"","480","Failed login via BDR Flow","chromium","Fri Feb 13 07:13:49 UTC 2026","passed","Fri Feb 13 07:13:49 UTC 2026","Class-Based BDR Demo (Recommended)","","",""
"","239","E2E: Rapid Checkout (Failure - Real API No Backend)","chromium","Fri Feb 13 07:13:53 UTC 2026","failed","Fri Feb 13 07:13:54 UTC 2026","Hybrid BDR Demo: API + UI","","",""
"","656","Data Driven Test (Inline)","chromium","Fri Feb 13 07:13:55 UTC 2026","passed","Fri Feb 13 07:13:56 UTC 2026","Inline BDR Demo (Flexible)","","",""
"","170","Data-Driven Scalability: Flow for problem_user (Support)","chromium","Fri Feb 13 07:13:50 UTC 2026","passed","Fri Feb 13 07:13:50 UTC 2026","Enhanced BDR Features (Mocked)","","",""
"","812","E2E Purchase Flow: Login -> Add to Cart -> Checkout","chromium","Fri Feb 13 07:13:48 UTC 2026","passed","Fri Feb 13 07:13:49 UTC 2026","Class-Based BDR Demo (Recommended)","","",""
"","176","Data-Driven Scalability: Flow for visual_user (Basic)","chromium","Fri Feb 13 07:13:50 UTC 2026","passed","Fri Feb 13 07:13:50 UTC 2026","Enhanced BDR Features (Mocked)","","",""
"","620","Successful Login (Inline BDD Style)","chromium","Fri Feb 13 07:13:55 UTC 2026","passed","Fri Feb 13 07:13:55 UTC 2026","Inline BDR Demo (Flexible)","","",""
"","19","User Authentication and Profile Check via API","chromium","Fri Feb 13 07:13:48 UTC 2026","passed","Fri Feb 13 07:13:48 UTC 2026","API BDR Demo","","",""
"","171","Data Tables and HTML Attachments","chromium","Fri Feb 13 07:13:50 UTC 2026","passed","Fri Feb 13 07:13:50 UTC 2026","Enhanced BDR Features (Mocked)","","",""
